period_start
2012-08-01
2012-08-30
2012-09-25
2012-10-21
2012-11-16
2012-12-14
2013-01-09
2013-02-05
2013-03-03
2013-03-30
2013-04-26
2013-05-24
2013-06-19
2013-07-15
2013-08-11
2013-09-06
2013-10-04
2013-10-29
2013-11-24
2013-12-19
2014-01-14
2014-02-10
2014-03-10
2014-04-07
2014-05-04
2014-05-30
2014-06-28
2014-07-24
2014-08-19
2014-09-16
2014-10-12
2014-11-08
2014-12-03
2014-12-30
2015-01-26
2015-02-21
2015-03-19
2015-04-15
2015-05-12
2015-06-07
2015-07-04
2015-08-01
2015-08-25
2015-09-19
2015-10-16
2015-11-11
2015-12-09
2016-01-03
2016-01-29
2016-02-24
2016-03-22
